sxt_mm,cn_mm,na_mm,c_mm,kf_mm,azm_mm,ct_mm,cip_mm,te_mm,ax_mm,mem_mm,imp_mm,ctx_mm,amc_mm,fep_mm,fox_mm,caz_mm,cro_mm,pip_mm,ob_mm,edta_mm,afb_mm,mk_mm,atm_mm,blee,ampc,carbapenemasas,departamento,ctxm,tem,oxa,shv,mcr1,cmy,ndm,colistina,ac_nalidixico,cloranfenicol,ciprofloxacina,sulfatrimetoprim,gentamicina,azitromicina,amoxicilina,tetraciclina,cefepime,cefoxitina,meropenem,amoxi_clav,ceftazidima,cefotaxima,cefalotina,imipenem,amikacina,ceftriaxona,piperazilina,R_polimixinas,R_fenicoles,R_quinolonas,R_sulfas,R_aminoglucosidos,R_macrolidos,R_betalactamicos,R_carbapenemicos,R_tetraciclinas,count_grupos,MDR3,MDR5,R2_colistina,R2_cloranfenicol,R2_ciprofloxacina,R2_sulfatrimetoprim,R2_gentamicina,R2_azitromicina,R2_amoxicilina,R2_tetraciclina,R2_cefepime,R2_cefoxitina,R2_meropenem,R2_amoxi_clav,R2_ceftazidima,R2_cefotaxima,R2_cefalotina,R2_ac_nalidixico,R2_imipenem,R2_ceftriaxona,R2_amikacina,R2_piperazilina,count_total_resistencias,gyrA,gyrA_parC,qnr,sp_bioquimica,aztreonam,R2_aztreonam,count_total_resistencias2,kleborate/fastani,id_seq,ST,AAC(3)-IId,AAC(3)-IIe,AAC(3)-VIa,AAC(6')-Ian,AAC(6')-Ib-cr,AAC(6')-Ib7,AAC(6')-Ib9,AAC(6')-Il,ANT(2'')-Ia,ANT(3'')-IIa,APH(3'')-Ib,APH(3')-IIa,APH(3')-Ia,APH(3')-VIa,APH(6)-Id,CMY-59,CTX-M-14,CTX-M-15,CTX-M-2,CTX-M-27,CTX-M-3,CTX-M-55,ErmB,FosA3,FosA5,FosA6,KPC-1,LAP-2,LEN-17,MCR-1,MCR-1.11,NDM-1,OKP-A-2,OKP-B-3,OXA-1,OXA-10,OXA-4,OXY-1-1,OXY-1-2,OXY-1-4,OXY-4-1,OXY-5-1,OXY-6-1,OXY-6-4,PER-1,PER-2,QnrB17,QnrB20,QnrB5,QnrB62,QnrS1,QnrVC1,SAT-1,SHV-101,SHV-106,SHV-11,SHV-110,SHV-134,SHV-182,SHV-187,SHV-26,SHV-27,TEM-1,TEM-104,TEM-141,TEM-150,TEM-176,TLA-1,VEB-9,aadA16,aadA2,aadA5,aphA15,arr-3,catB3,catI,catII,cmlA1,cmlA4,cmlA5,cmlB1,dfrA1,dfrA12,dfrA14,dfrA15,dfrA17,dfrA21,dfrA27,dfrA5,dfrA6,dfrA7,dfrA8,floR,linG,lnuG,mphA,mphB,mphE,msrE,oqxA,oqxB,sul1,sul2,sul3,tet(A),tet(B),tet(C),tet(D),tetM,blaCMY,blaCTXM,blaKPC,blaOXA,blaSHV,blaTEM,mcr,NDM,st2
24,23,24,29,22,16,14,31,22,6,32,30,31,23,31,24,32,32,26,18,16,6,25,35,0,0,0,,1,0,0,0,0,0,0,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Resistente,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,0,0,0,0,0,0,1,0,0,1,No MDR3,No MDR5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No,No,No,Klebsiella,Sensible,0,1,Klebsiella michiganensis,242,ND,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND
30,26,6,16,25,19,16,14,23,6,34,34,38,16,32,30,32,36,25,6,18,6,23,40,0,0,0,,1,0,0,0,0,0,0,Sensible,Resistente,Intermedio,Resistente,Sensible,Sensible,Sensible,Resistente,Sensible,Sensible,Sensible,Sensible,Intermedio,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,0,0,1,0,0,0,1,0,0,2,No MDR3,No MDR5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,No,No,Sí,Klebsiella,Sensible,0,3,Klebsiella grimontii,247,ND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ND
27,18,6,26,20,12,12,19,23,6,29,30,36,21,30,26,26,28,25,6,18,6,22,36,0,0,0,,1,0,0,0,0,0,0,Intermedio,Resistente,Sensible,Resistente,Sensible,Sensible,Resistente,Resistente,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,0,0,1,0,0,1,1,0,0,3,MDR3,No MDR5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,No,No,Sí,Klebsiella,Sensible,0,4,Klebsiella michiganensis,249,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND
29,21,25,30,27,11,13,31,28,19,30,32,35,27,35,30,34,32,30,6,14,6,26,40,0,0,0,,1,0,0,0,0,0,0,Intermedio,Sensible,Sensible,Sensible,Sensible,Sensible,Resistente,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,0,0,0,0,0,1,0,0,0,1,No MDR3,No MDR5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No,No,No,Klebsiella,Sensible,0,1,Klebsiella grimontii,250,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND
6,14,6,6,6,12,11,6,6,6,23,30,10,8,15,9,14,11,12,6,18,6,21,22,1,1,0,,1,0,0,0,0,1,0,Intermedio,Resistente,Resistente,Resistente,Resistente,Intermedio,Resistente,Resistente,Resistente,Resistente,Resistente,Sensible,Resistente,Resistente,Resistente,Resistente,Sensible,Sensible,Resistente,Resistente,0,1,1,1,0,1,1,0,1,6,MDR3,MDR5,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,15,No,No,Sí,Escherichia coli,Sensible,0,14,ecoli,253,405,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,ST-405
6,14,6,6,6,12,12,6,6,6,26,29,11,8,16,6,14,6,12,6,18,6,21,20,1,1,0,,1,0,0,0,0,1,0,Intermedio,Resistente,Resistente,Resistente,Resistente,Intermedio,Resistente,Resistente,Resistente,Resistente,Resistente,Sensible,Resistente,Resistente,Resistente,Resistente,Sensible,Sensible,Resistente,Resistente,0,1,1,1,0,1,1,0,1,6,MDR3,MDR5,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,15,No,No,Sí,Escherichia coli,Intermedio,0,14,ecoli,254,405,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,ST-405
6,6,6,22,16,15,11,6,6,6,31,26,6,6,18,8,6,6,6,6,16,6,20,20,1,1,0,,1,0,0,0,0,1,0,Intermedio,Resistente,Sensible,Resistente,Resistente,Resistente,Sensible,Resistente,Resistente,Resistente,Resistente,Sensible,Resistente,Resistente,Resistente,Intermedio,Sensible,Sensible,Resistente,Resistente,0,0,1,1,1,0,1,0,1,5,MDR3,MDR5,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,13,No,No,Sí,Escherichia coli,Intermedio,0,12,ecoli,255,405,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,ST-405
25,22,23,6,19,24,14,38,6,6,31,31,32,6,32,28,28,30,20,6,16,6,23,32,0,0,0,,0,1,0,0,0,0,0,Sensible,Sensible,Resistente,Sensible,Sensible,Sensible,Sensible,Resistente,Resistente,Sensible,Sensible,Sensible,Resistente,Sensible,Sensible,Sensible,Sensible,Sensible,Sensible,Intermedio,0,1,0,0,0,0,1,0,1,3,MDR3,No MDR5,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,No,No,No,Escherichia coli,Sensible,0,4,ecoli,256,ND,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,ND
6,23,6,6,6,6,13,24,6,6,34,33,26,6,28,26,6,24,22,6,18,6,21,14,1,1,0,,1,0,1,0,0,0,1,Intermedio,Resistente,Resistente,Intermedio,Resistente,Sensible,Resistente,Resistente,Resistente,Sensible,Sensible,Sensible,Resistente,Resistente,Sensible,Resistente,Sensible,Sensible,Sensible,Sensible,0,1,1,1,0,1,1,0,1,6,MDR3,MDR5,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,9,No,Sí,No,Klebsiella,Resistente,1,10,Klebsiella michiganensis,257,ND,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,ND
6,24,6,27,6,27,14,22,9,6,28,11,6,6,14,15,10,6,6,6,6,6,23,6,0,0,1,,0,0,0,0,0,0,0,Sensible,Resistente,Sensible,Intermedio,Resistente,Sensible,Sensible,Resistente,Resistente,Resistente,Intermedio,Sensible,Resistente,Resistente,Resistente,Resistente,Resistente,Sensible,Resistente,Resistente,0,0,1,1,0,0,1,1,1,5,MDR3,MDR5,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,12,No,Sí,No,Klebsiella,Resistente,1,12,Klebsiella pneumoniae,258,ST11,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,ST-ST11
